Composicao molar dos fluidos:

     Fluid1  Fluid2  Fluid3  Fluid4  Fluid5  Fluid6  Fluid7  Fluid8  Fluid9 Fluid10 Fluid11 Fluid12 Fluid13 Fluid14 Fluid15 Fluid16 Fluid17
H2S  0.0394  0.0265  0.0000  0.0000  0.0000  0.0017  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
N2   0.1086  0.1007  0.0312  0.0679  0.0020  0.0752  0.0011  0.0030  0.0343  0.0345  0.0008  0.0556  0.0547  0.0000  0.0046  0.0008  0.0567
CO2  0.0238  0.0201  0.0323  0.0135  0.0077  0.0131  0.0001  0.0435  0.0275  0.0273  0.0244  0.0060  0.0044  0.0000  0.0061  0.0244  0.0226
C1   0.6643  0.6689  0.6976  0.6869  0.7209  0.6565  0.6893  0.6255  0.6783  0.5771  0.8210  0.8519  0.8548  0.9135  0.6864  0.8210  0.4574
C2   0.0650  0.0685  0.0903  0.0812  0.0636  0.0819  0.0863  0.0999  0.0449  0.1072  0.0578  0.0357  0.0350  0.0403  0.1390  0.0578  0.1147
C3   0.0281  0.0305  0.0402  0.0376  0.0623  0.0414  0.0534  0.0500  0.0267  0.0599  0.0287  0.0154  0.0146  0.0153  0.0689  0.0287  0.0759
iC4  0.0052  0.0059  0.0081  0.0070  0.0185  0.0075  0.0115  0.0131  0.0089  0.0106  0.0056  0.0037  0.0037  0.0000  0.0066  0.0056  0.0000
nC4  0.0103  0.0125  0.0144  0.0149  0.0222  0.0180  0.0233  0.0220  0.0179  0.0239  0.0123  0.0057  0.0058  0.0082  0.0266  0.0123  0.0638
iC5  0.0032  0.0046  0.0060  0.0058  0.0096  0.0065  0.0093  0.0103  0.0085  0.0087  0.0052  0.0027  0.0028  0.0000  0.0062  0.0052  0.0000
nC5  0.0034  0.0050  0.0055  0.0066  0.0081  0.0078  0.0085  0.0093  0.0100  0.0097  0.0060  0.0023  0.0023  0.0034  0.0094  0.0060  0.0431
C6   0.0057  0.0068  0.0096  0.0099  0.0128  0.0100  0.0173  0.0147  0.0203  0.0172  0.0072  0.0000  0.0000  0.0039  0.0114  0.0072  0.0592
C7+  0.0430  0.0500  0.0647  0.0687  0.0723  0.0804  0.0999  0.1087  0.1227  0.1239  0.0310  0.0210  0.0214  0.0154  0.0348  0.0310  0.1066
SG   0.7927  0.7956  0.8044  0.8027  0.8072  0.7985  0.8299  0.8095  0.7918  0.8056  0.7740  0.7734  0.7861  0.7961  0.7763  0.7740  0.8044
MW   145.19  156.59  163.77  157.33  152.81  153.84  158.00  173.00  154.61  158.10  132.00  129.81  143.60  138.78  152.30  132.00  148.00

Temperatura (K) e pressao de orvalho experimental (bar):

     Fluid1  Fluid2  Fluid3  Fluid4  Fluid5  Fluid6  Fluid7  Fluid8  Fluid9 Fluid10 Fluid11 Fluid12 Fluid13 Fluid14 Fluid15 Fluid16 Fluid17
T   338.705 408.150 424.816 403.150 382.594 417.038 397.594 424.816 422.594 424.816 355.650 305.372 305.372 366.983 363.000 355.600 435.928
Po  419.960 395.276 412.858 424.717 348.185 388.658 415.409 360.251 339.429 311.712 281.000 387.003 414.582 264.600 235.365 281.003 208.566

Propriedades dos compostos:

       Tc      Pc       w       AAT1     AAT2     AAT3      PEL1       PEL2       PEL3       r        q
H2S  373.53  89.629  0.09417  0.44736  1.01502  0.07205   59.00074  -76.43455   21.37666  1.00000  1.00000
N2   126.60  34.000  0.03772  0.37729  0.98587  0.05244   50.68195  -65.86800   17.01687  1.08800  1.04153
CO2  304.21  73.830  0.22362  0.44521  0.94117  0.17451  187.98855 -290.17713  110.34358  1.28000  1.32000
C1   190.56  45.990  0.01155  0.34674  0.97715  0.04375   59.11394  -75.51389   19.48020  1.15200  1.12393
C2   305.32  48.720  0.09949  0.40750  0.94471  0.07863   85.70533 -110.88277   30.83373  1.70000  1.80000
C3   369.83  42.480  0.15229  0.53120  0.99911  0.06650  124.46058 -161.82161   46.99078  2.24000  2.48000
iC4  408.14  36.480  0.18077  0.60219  0.99617  0.06256  163.40217 -212.19205   63.02294  2.77000  3.15000
nC4  425.12  37.960  0.20016  0.60219  0.99617  0.06256  163.40217 -212.19205   63.02294  2.77600  3.15100
iC5  460.43  33.810  0.22746  0.61593  0.96228  0.08320  201.43940 -260.62198   79.54710  3.31200  3.82460
nC5  469.70  33.700  0.25151  0.61593  0.96228  0.08320  201.43940 -260.62198   79.54710  3.31600  3.82540
C6   507.60  30.250  0.30126  0.71923  0.98457  0.07047  251.54634 -325.32740  102.08503  3.85600  4.49980
C7+  617.70  21.100  0.49233  1.03502  1.00688  0.03594  433.66158 -571.79071  196.59601  6.01600  7.19740 -> Propriedades do Decano

Parametros de interacao binaria do UNIQUAC:

        H2S      N2     CO2      C1      C2      C3     iC4     nC4     iC5     nC5      C6     C7+
H2S    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
N2     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
CO2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
C1     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
C2     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
C3     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
iC4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
nC4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
iC5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
nC5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
C6     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
C7+    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00

        H2S      N2     CO2      C1      C2      C3     iC4     nC4     iC5     nC5      C6     C7+
H2S    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
N2     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
CO2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
C1     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
C2     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
C3     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
iC4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
nC4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
iC5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
nC5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
C6     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
C7+    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00

Parametros de interacao binaria do Peng-Robinson:

        H2S      N2     CO2      C1      C2      C3     iC4     nC4     iC5     nC5      C6     C7+
H2S 0.00000 0.16760 0.10000 0.08500 0.08400 0.07500 0.05000 0.06000 0.06000 0.06500 0.06000 0.04500
N2  0.16760 0.00000-0.02000 0.03600 0.05000 0.08000 0.09500 0.09000 0.09500 0.10000 0.14900 0.13160
CO2 0.10000-0.02000 0.00000 0.10000 0.12980 0.13500 0.12980 0.12980 0.12500 0.12500 0.12500 0.11810
C1  0.08500 0.03600 0.10000 0.00000 0.00224 0.00683 0.01311 0.01230 0.01763 0.01793 0.02347 0.04361
C2  0.08400 0.05000 0.12980 0.00224 0.00000 0.00126 0.00457 0.00410 0.00741 0.00761 0.01141 0.02673
C3  0.07500 0.08000 0.13500 0.00683 0.00126 0.00000 0.00104 0.00082 0.00258 0.00270 0.00514 0.01663
iC4 0.05000 0.09500 0.12980 0.01311 0.00457 0.00104 0.00000 0.00001 0.00035 0.00039 0.00157 0.00945
nC4 0.06000 0.09000 0.12980 0.01230 0.00410 0.00082 0.00001 0.00000 0.00050 0.00055 0.00187 0.01016
iC5 0.06000 0.09500 0.12500 0.01763 0.00741 0.00258 0.00035 0.00050 0.00000 0.00000 0.00044 0.00621
nC5 0.06500 0.10000 0.12500 0.01793 0.00761 0.00270 0.00039 0.00055 0.00000 0.00000 0.00039 0.00603
C6  0.06000 0.14900 0.12500 0.02347 0.01141 0.00514 0.00157 0.00187 0.00044 0.00039 0.00000 0.00335
C7+ 0.04500 0.13160 0.11810 0.04361 0.02673 0.01663 0.00945 0.01016 0.00621 0.00603 0.00335 0.00000
